104;T-Motor U11 kv120;730;12;29x9.5;0.28638;0.83263;12.67
105;T-Motor U11 kv90;730;12;29x9.5;0.206042;1.08282;10.08
106;P80 kv100;650;12;30x10.5;0.1495;1.3632;14.06
107;P80 kv120;650;12;30x10.5;0.13866;1.58907;17.34
108;P80 kv170;640;6;30x10.5;0.3391;2.6784;10.402
109;T-Motor U11 kv90;730;12;30x10.5;0.205449;1.0835;10.895
110;T-Motor U13 kv100;1280;11;30x10.5;0.18188;1.743496;12.161
111;T-Motor U13 kv100;1280;12;30x10.5;0.157133;1.421115;16.18
112;T-Motor U13 kv85;1300;12;30x10.5;0.14334675;1.4023765;12.689
113;P80 kv100;650;12;32x11;0.14617;1.26098;16.2
114;T-Motor U13 kv100;1280;11;32x11;0.16697;1.6944;14.363
115;T-Motor U13 kv100;1280;12;32x11;0.134005;1.56114;18.982
116;T-Motor U13 kv85;1300;12;32x11;0.134411;1.408312;14.651
117;T-Motor U13 kv100;1280;11;34x11;0.15357;1.6382779;16.832
118;T-Motor U13 kv85;1300;11;34x11;0.1605928;1.4865;12.943
119;T-Motor U13 kv85;1300;12;34x11;0.127174;1.32129;17.361
120;T-Motor U13 kv100;1280;9;36x11.5;0.1949997;1.7082;13.157
121;T-Motor U13 kv100;1280;11;36x11.5;0.16206587;1.39595;18.294
122;T-Motor U13 kv85;1300;11;36x11.5;0.15387;1.37104;14.421
123;T-Motor U13 kv130;990;12;32x11;0.1251;1.8065;24.3
124;T-Motor MN501s kv360;175;6;17x5.8;1.1524;3.7828;3.837
125;T-Motor MN501s kv360;175;6;18x6.1;1.0377;3.4433;4.644
126;T-Motor MN501s kv300;170;6;20x6;0.8827;2.7476;4.284
127;T-Motor MN501s kv300;170;6;22x6.6;0.8873;2.5106;5.277
128;T-Motor MN501s kv240;170;12;14x4.8;0.5911;2.4629;3.891
129;T-Motor MN501s kv240;170;12;15x5;0.5455;2.4377;4.667
